"id","source","pmid","doi","title","authorString","journalTitle","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate","pmcid","issue","journalVolume","versionNumber"
"40423066","MED","40423066","10.3390/jpm15050195","Methodologies for the Emulation of Biomarker-Guided Trials Using Observational Data: A Systematic Review.","Baldwin FD, Khalaf RKS, Kolamunnage-Dona R, Jorgensen AL.","J Pers Med","2025","2075-4426","195","review-article; review; journal article","Y","Y","Y","Y","N","Y",1,"Y","Y","N","N","N","2025-05-28","2025-05-10","PMC12112824","5","15",NA
"PPR1052355","PPR",NA,"10.1101/2025.07.16.25331661","Survival Outcomes after Monitoring, Surgery, or Radiotherapy for Clinically Localized Prostate Cancer","An MH, Kim C, Min K, Yi K, Park RW, Jung M.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"Y","Y","N","N","N","2025-07-22","2025-07-18",NA,NA,NA,NA
"40388602","MED","40388602","10.1093/gerona/glaf095","Comparative Effectiveness of Metformin Versus Sulfonylureas on Exceptional Longevity in Women With Type 2 Diabetes: Target Trial Emulation.","Shadyab AH, Espeland MA, Odegaard AO, Manson JE, Haring B, Johnson KC, Chen Z, Zhang B, LaCroix AZ.","J Gerontol A Biol Sci Med Sci","2025","1079-5006; 1758-535x; ","glaf095","comparative study; research-article; journal article","Y","Y","Y","Y","N","Y",0,"Y","Y","N","Y","N","2025-05-21","2025-06-01","PMC12223363","7","80",NA
"40488647","MED","40488647","10.14309/ajg.0000000000003585","Association of Glucagon-Like Peptide-1 Receptor Agonists With Liver-Related Outcomes and All-Cause Mortality in Patients With Harmful Alcohol Use: A Target Trial Emulation Study.","John BV, Bastaich D, Marchetti D, Perumalswami P, Mustafa MZ, Dahman B, Veterans Analysis of Liver Disease (VALID) Group of Investigators.","Am J Gastroenterol","2025","0002-9270; 1572-0241; ",NA,"journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-06-11","2025-06-10",NA,NA,NA,NA
"PPR1013867","PPR",NA,"10.1101/2025.05.02.25326905","Federated Target Trial Emulation using Distributed Observational Data for Treatment Effect Estimation","Li H, Zang C, Xu Z, Pan W, Rajendran S, Chen Y, Wang F.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"Y","Y","N","N","N","2025-05-07","2025-05-05",NA,NA,NA,NA
"40523289","MED","40523289","10.7326/annals-24-00775","Comparison of Semaglutide or Dulaglutide Versus Empagliflozin for Risk for Death and Cardiovascular Outcomes Among Patients With Type 2 Diabetes : Two Target Trial Emulation Studies.","Saeed A, Mulukutla SR, Thoma F, Lemon L, Koczo A, Reis S, Marroquin O, Kip K.","Ann Intern Med","2025","0003-4819; 1539-3704; ","930-939","comparative study; journal article; observational study","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-06-16","2025-06-17",NA,"7","178",NA
"40024480","MED","40024480","10.1016/j.jclinepi.2025.111747","Rethinking Medication Safety in Pregnancy and Infancy: How Target Trial Emulation and Real-World Data Bridge the Evidence Gap.","Hu YJ, Said JM, Cheong JLY.","J Clin Epidemiol","2025","0895-4356; 1878-5921; ","111747","journal article","N","N","N","N","N","N",0,"Y","N","N","Y","N","2025-03-03","2025-02-28",NA,NA,"181",NA
"40690519","MED","40690519","10.1371/journal.pmed.1004661","Trastuzumab in early curative breast cancer: A target trial emulation benchmarked against two randomized clinical trials.","Voelskow V, Garcia-Albeniz X, Berglund A, Feychting M, Kurth T, Matthews AA.","PLoS Med","2025","1549-1277; 1549-1676; ","e1004661","journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-07-22","2025-07-21",NA,"7","22",NA
"40232782","MED","40232782","10.1037/hea0001473","Intimate partner relationship strain and general health for prospective mothers and their child: A target trial emulation study.","Marshall EM, Greenwood CJ, Aarsman SR, Farrell AK, Fuller-Tyszkiewicz M, Sbarra DA, Karantzas GC, Letcher P, Olsson CA.","Health Psychol","2025","0278-6133; 1930-7810; ","467-478","journal article","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-04-15","2025-05-01",NA,"5","44",NA
"40208301","MED","40208301","10.1007/s00392-025-02645-0","Atorvastatin versus rosuvastatin in acute myocardial infarction with elevated liver enzymes: a target trial emulation study.","Chen X, Liu H, Li L, A G, Sun P, Tan DS, Chan MY, Foo RS, Fonarow GC, Yang Q, Zhou X.","Clin Res Cardiol","2025","1861-0684; 1861-0692; ","796-808","multicenter study; journal article","N","N","N","N","N","N",0,"Y","Y","N","N","N","2025-04-11","2025-04-10",NA,"6","114",NA
"PPR1008228","PPR",NA,"10.1101/2025.04.21.25326150","Target Trial Emulation Applications in Hypertension Research: A Scoping Review","Habibdoust A, Zuo H, Koopman RJ, Gupta A, Mazzotti DR, Song X.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",1,"Y","Y","N","Y","N","2025-04-25","2025-04-22",NA,NA,NA,NA
"40114533","MED","40114533","10.1093/aje/kwaf062","The effect of melatonin supplement use on pubertal timing: target trial emulation in the Adolescent Brain Cognitive Development study.","Sadikova E, Szmulewicz A, Rakesh D, Tiemeier H.","Am J Epidemiol","2025","0002-9262; 1476-6256; ","kwaf062","journal article","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-03-21","2025-03-21",NA,NA,NA,NA
"40311670","MED","40311670","10.1016/j.cjca.2025.04.020","Compared to Whom? Using Target Trial Emulation to Improve Causal Inference.","Wen C, Sebastiani G, Saeed S.","Can J Cardiol","2025","0828-282x; 1916-7075; ","S0828-282X(25)00323-X","letter","N","N","N","N","N","N",0,"Y","N","N","N","N","2025-05-02","2025-04-29",NA,NA,NA,NA
"40493225","MED","40493225","10.1007/s00134-025-07979-x","Sodium bicarbonate administration for metabolic acidosis in the intensive care unit: a target trial emulation.","Blank SP, Blank RM, Laupland KB, Tabah A, Gill D, Kumar A, White K, Attokaran A, Luke S, Whebell S, Garrett P, McCullough J, McIlroy P, Ramanan M, Queensland Critical Care Research Network (QCCRN).","Intensive Care Med","2025","0342-4642; 1432-1238; ","1078-1086","research-article; journal article","Y","Y","Y","Y","N","Y",1,"Y","Y","N","Y","Y","2025-06-12","2025-06-10","PMC12208957","6","51",NA
"40578930","MED","40578930","10.3122/jabfm.2024.240290r1","Shared Decision-Making and Discontinuation of Opioid Therapy for Chronic Pain.","Licciardone JC, Digilio M, Aryal S.","J Am Board Fam Med","2025","1557-2625; 1558-7118; ","275-289","journal article","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-06-28","2025-06-27",NA,"2","38",NA
"40450698","MED","40450698","10.1111/dom.16445","Glucagon-like peptide-1 receptor agonists and incidence of obesity-related cancer in adults with diabetes: A target-trial emulation study.","Mavromatis LA, Surapaneni A, Mehta S, Xu Y, Chang AR, Velcheti V, Ahn J, Shin JI, Grams ME.","Diabetes Obes Metab","2025","1462-8902; 1463-1326; ","4571-4575","letter","N","N","N","N","N","N",0,"Y","N","N","Y","N","2025-06-11","2025-06-01",NA,"8","27",NA
"40651934","MED","40651934","10.1016/j.ard.2025.06.2124","Osteoarthritis risk associated with romosozumab compared with teriparatide in individuals with osteoporosis: a target trial emulation study.","Hatano M, Sasabuchi Y, Okada A, Kimura Y, Ishikura H, Tanaka T, Saito T, Tanaka S, Yasunaga H.","Ann Rheum Dis","2025","0003-4967; 1468-2060; ","S0003-4967(25)04173-1","journal article","N","N","N","N","N","N",0,"Y","Y","N","Y","N","2025-07-14","2025-07-04",NA,NA,NA,NA
"40294140","MED","40294140","10.1161/circulationaha.124.072362","Letter by Dong et al Regarding Article, ""Comparative Cardiovascular Effectiveness of Empagliflozin Versus Dapagliflozin in Adults With Treated Type 2 Diabetes: A Target Trial Emulation"".","Dong J, Yang X, Zhang W.","Circulation","2025","0009-7322; 1524-4539; ","e962-e963","letter","N","N","N","N","N","N",0,"N","N","N","Y","N","2025-04-29","2025-04-28",NA,"17","151",NA
"40701585","MED","40701585","10.1136/bmjopen-2024-098318","Comparative effectiveness of missed dose protocols of opioid agonist treatment in British Columbia, Canada: protocol for a population-based target trial emulation.","Mondol MH, Min JE, Kurz M, Zanette M, Hossain MB, Bach P, Gustafson P, Platt RW, Seaman S, Socías ME, Nosyk B, Karim ME.","BMJ Open","2025","2044-6055","e098318","journal article","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-07-24","2025-07-22",NA,"7","15",NA
"39836177","MED","39836177","10.1164/rccm.202406-1162oc","Early versus Delayed Switching from Controlled to Assisted Ventilation: A Target Trial Emulation.","Reep CAT, Wils EJ, Fleuren LM, Breskin A, Bellani G, Laffey JG, Brochard LJ, Pham T, Heunks L.","Am J Respir Crit Care Med","2025","1073-449x; 1535-4970; ","975-983","comparative study; journal article","N","N","N","N","N","N",2,"Y","Y","N","Y","N","2025-01-22","2025-06-01",NA,"6","211",NA
"PPR1046545","PPR",NA,"10.21203/rs.3.rs-6945998/v1","Vaccine Effectiveness Among 5- to 17-year-old Individuals with Prior SARS-CoV-2 Infection: An EHR-Based Target Trial Emulation Study from the RECOVER Project","Chen Y, Lei Y, Chen J, Wu Q, Zhou T, Zhang B, Becich M, Bisyuk Y, Blecker S, Chrischilles E, Christakis D, Cowell L, Cummins M, Fernandez S, Fort D, Gonzalez S, Herring S, Horne B, Horowitz C, Liu M, Kim S, Mirhaji P, Mosa A, Muszynski J, Paules C, Sato A, Schwenk H, Sengupta S, Suresh S, Taylor B, Williams D, He Y, Morris J, Jhaveri R, Forrest C.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"N","Y","N","N","N","2025-07-07","2025-07-03",NA,NA,NA,1
"40069950","MED","40069950","10.1093/aje/kwaf053","Exploring the Application of Target Trial Emulation in Vaccine Evaluation: Scoping Review.","Komura T, Watanabe M, Shioda K.","Am J Epidemiol","2025","0002-9262; 1476-6256; ","kwaf053","journal article","N","N","N","N","N","N",1,"N","Y","N","N","N","2025-03-12","2025-03-10",NA,NA,NA,NA
"40294139","MED","40294139","10.1161/circulationaha.125.073970","Response by Bonnesen et al to Letter Regarding Article, ""Comparative Cardiovascular Effectiveness of Empagliflozin Versus Dapagliflozin in Adults With Treated Type 2 Diabetes: A Target Trial Emulation"".","Bonnesen K, Heide-Jørgensen U, Schmidt M.","Circulation","2025","0009-7322; 1524-4539; ","e964","letter","N","N","N","N","N","N",0,"Y","N","N","N","N","2025-04-29","2025-04-28",NA,"17","151",NA
"38862178","MED","38862178","10.1093/ibd/izae131","Target Trial Emulation: Improving the Quality of Observational Studies in Inflammatory Bowel Disease Using the Principles of Randomized Trials.","Honap S, Danese S, Peyrin-Biroulet L.","Inflamm Bowel Dis","2025","1078-0998; 1536-4844; ","843-849","review-article; review; journal article","Y","Y","Y","Y","N","N",1,"Y","Y","N","Y","N","2024-06-13","2025-03-01","PMC11879188","3","31",NA
"40198137","MED","40198137","10.1080/09638288.2025.2487560","Enhancing knowledge of treatment effects by analysing observational data as a randomised trial.","Diong J, Kwok W, Sherrington C.","Disabil Rehabil","2025","0963-8288; 1464-5165; ","1-5","review; journal article","N","N","N","N","N","N",0,"Y","N","N","Y","N","2025-04-09","2025-04-08",NA,NA,NA,NA
"40561343","MED","40561343","10.62675/2965-2774.20250118","Target trial emulation on dexmedetomidine for critically ill patients: all that glitters is not gold.","Barreto BB, Burry L, Gusmao-Flores D.","Crit Care Sci","2025","2965-2774","e20250118","editorial","Y","Y","Y","Y","N","N",0,"Y","Y","N","N","N","2025-06-26","2025-06-20","PMC12266819",NA,"37",NA
"40392462","MED","40392462","10.1007/s11606-025-09612-5","Risk of New Headaches Following GLP-1RA Initiation in Older Adults with Type 2 Diabetes: A Target Trial Emulation.","Dai H, Scheiffele GD, Tang H, Donahoo WT, Westen SC, Bian J, Guo J.","J Gen Intern Med","2025","0884-8734; 1525-1497; ",NA,"letter","N","N","N","N","N","N",0,"Y","N","N","Y","N","2025-05-21","2025-05-20",NA,NA,NA,NA
"39052886","MED","39052886","10.1093/aje/kwae222","Invited commentary: target trial emulation-a call for more widespread use.","Anderson AH.","Am J Epidemiol","2025","0002-9262; 1476-6256; ","659-661","research-article; journal article","Y","Y","Y","Y","N","N",0,"Y","Y","N","N","N","2024-07-26","2025-03-01","PMC11879492","3","194",NA
"PPR1002566","PPR",NA,"10.1101/2025.04.08.25325485","Investigating Primary Care Indications to Improve the Quality of Electronic Health Record Data in Target Trial Emulation for Dementia","Sunog M, Magdamo C, Charpignon M, Albers M.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"Y","Y","N","N","N","2025-04-12","2025-04-10",NA,NA,NA,NA
"40388171","MED","40388171","10.1001/jamanetworkopen.2025.11507","Target Trial Emulation for Antibiotic Use in Acute COVID-19-Taking Aim at a Common Intervention.","Ong SWX, Tong SYC.","JAMA Netw Open","2025","2574-3805","e2511507","journal article","N","N","N","N","N","N",0,"N","N","N","Y","N","2025-05-21","2025-05-01",NA,"5","8",NA
"39454630","MED","39454630","10.1093/eurjpc/zwae346","Safety of beta-blocker discontinuation after acute coronary syndromes with preserved or mildly reduced left ventricular ejection fraction: a target trial emulation from a real-world cohort.","Johner N, Branca M, Carballo D, Baggio S, Nanchen D, Tessitore E, Räber L, Lüscher TF, Matter CM, Windecker S, Rodondi N, Mach F, Gencer B.","Eur J Prev Cardiol","2025","2047-4873; 2047-4881; ","622-632","multicenter study; journal article; observational study","N","N","N","N","N","N",2,"Y","Y","N","Y","N","2024-10-27","2025-06-01",NA,"8","32",NA
"PPR1021513","PPR",NA,"10.1101/2025.05.16.25327593","Effectiveness of COVID-19 mRNA primary and booster vaccination against infection and hospitalisation during pregnancy: a target trial emulation and meta-analysis of data from 4 European countries","Mercade-Besora N, Raventós B, Trinh NT, Li H, Hayati S, Giuliodori A, Burkard T, Burn E, Català M, Prieto-Alhambra D, Morales DR, Nyberg F, Nordeng HME, Duarte-Salles T.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"Y","Y","N","Y","N","2025-05-21","2025-05-16",NA,NA,NA,NA
"PPR1010875","PPR",NA,"10.20944/preprints202504.2096.v1","Target Trial Emulation to Assess the Efficacy of the MVA-BN Vaccine as a Pre-Exposure Strategy in Individuals with Risk Factors for Mpox","Suñer C, Escrig-Sarreta R, Galván-Casas C, Matos E, Gabster A, Wolff M, Ouchi D, Alemany A, Sánchez H, Huaman S, Bejarano D, Carrés-Esteve L, Santiago-Fernández C, Corral J, Mendoza A, Rivero À, Descalzo V, Orviz E, Martínez-Riveros H, Méndez-Boo L, Cabezas C, Arce A, Marks M, Mitjà O.",NA,"2025",NA,NA,"preprint","N","N","N","N","N","N",0,"N","Y","N","Y","N","2025-04-29","2025-04-24",NA,NA,NA,1
"40499831","MED","40499831","10.1016/j.jad.2025.119633","Effect of physical activity intervention on late-life depressive symptoms: a target trial emulation using two cohort studies.","Werneck AO, Rezende LFM, Stubbs B.","J Affect Disord","2025","0165-0327; 1573-2517; ","119633","journal article","N","N","N","N","N","N",0,"N","N","N","N","N","2025-06-12","2025-06-09",NA,NA,"389",NA
"40239630","MED","40239630","10.1016/j.xcrm.2025.102081","Importance of cohort and target trial emulation in clinical research.","Liang X, Zhang D, Wang H, Tahir MF, Chen L, Zhao X, Zou Z.","Cell Rep Med","2025","2666-3791","102081","news; journal article","Y","Y","Y","Y","N","N",0,"Y","Y","N","Y","N","2025-04-18","2025-04-01","PMC12047467","4","6",NA
"40267483","MED","40267483","10.1200/po-25-00294","Erratum: Clinical Effectiveness and Cost-Effectiveness of Multigene Panel Sequencing in Advanced Melanoma: A Population-Level Real-World Target Trial Emulation.","Krebs E, Weymann D, Ho C, Weppler A, Bosdet I, Karsan A, Hanna TP, Pollard S, Regier DA.","JCO Precis Oncol","2025","2473-4284","e2400294","published erratum; journal article","N","N","N","N","N","N",0,"N","N","N","N","N","2025-04-24","2025-04-23",NA,NA,"9",NA
"40605573","MED","40605573",NA,"Initiation of statin therapy in patients with diabetes mellitus: a target trial emulation study (abridged secondary publication).","Wan EYF, Xu W, Mok AHY, Chin WY, Yu EYT, Chui CSL, Chan EWY, Wong ICK, Lam CLK, Danaei G.","Hong Kong Med J","2025","1024-2708","20-22","journal article","N","N","N","N","N","N",0,"N","N","N","N","N","2025-07-07","2025-06-01",NA,"3","31 Suppl 3",NA
"39955077","MED","39955077","10.1016/j.jclinepi.2025.111723","Author's reply: ""The importance of properly specifying your target trial emulation: commentary on Mésidor et al.""","Mésidor M, Sirois C, Guertin JR, Poirier P, Blais C, Talbot D.","J Clin Epidemiol","2025","0895-4356; 1878-5921; ","111723","letter","N","N","N","N","N","N",0,"Y","N","N","Y","N","2025-02-16","2025-02-13",NA,NA,"180",NA
